University,Topic,Question,Expected_Answer
Bankura University,Facilities,Does Bankura University have a hostel and what is the fee?,"Yes, Bankura University has a hostel for both boys and girls. The fee is 54269 and the mess fee is 36240."
Bankura University,Facilities,What are the library timings for Bankura University?,The library timings for Bankura University are 8:00 AM to 8:00 PM.
Bankura University,Academics,What is the attendance rule at Bankura University?,The attendance rule at Bankura University is Minimum 75% attendance mandatory.
Birsa Agricultural University,Fees,What is the tuition fee for Birsa Agricultural University?,The tuition fee for Birsa Agricultural University is 87385 per semester.
Birsa Agricultural University,Placements,What is the highest placement package at Birsa Agricultural University?,The highest placement package at Birsa Agricultural University is 23.8 Lakh Per Annum.
Birsa Agricultural University,Facilities,Does Birsa Agricultural University have a hostel and what is the fee?,"Yes, Birsa Agricultural University has a hostel for both boys and girls. The fee is 78133 and the mess fee is 25194."
Birsa Agricultural University,Facilities,What are the library timings for Birsa Agricultural University?,The library timings for Birsa Agricultural University are 8:00 AM to 8:00 PM.
Birsa Agricultural University,Academics,What is the attendance rule at Birsa Agricultural University?,The attendance rule at Birsa Agricultural University is Minimum 75% attendance mandatory.
Babasaheb Bhimrao Ambedkar University,Fees,What is the tuition fee for Babasaheb Bhimrao Ambedkar University?,The tuition fee for Babasaheb Bhimrao Ambedkar University is 120254 per semester.
Babasaheb Bhimrao Ambedkar University,Placements,What is the highest placement package at Babasaheb Bhimrao Ambedkar University?,The highest placement package at Babasaheb Bhimrao Ambedkar University is 29.6 Lakh Per Annum.
Babasaheb Bhimrao Ambedkar University,Facilities,Does Babasaheb Bhimrao Ambedkar University have a hostel and what is the fee?,"Yes, Babasaheb Bhimrao Ambedkar University has a hostel for both boys and girls. The fee is 79646 and the mess fee is 34239."
Babasaheb Bhimrao Ambedkar University,Facilities,What are the library timings for Babasaheb Bhimrao Ambedkar University?,The library timings for Babasaheb Bhimrao Ambedkar University are 8:00 AM to 8:00 PM.
Babasaheb Bhimrao Ambedkar University,Academics,What is the attendance rule at Babasaheb Bhimrao Ambedkar University?,The attendance rule at Babasaheb Bhimrao Ambedkar University is Minimum 75% attendance mandatory.
Bidhan Chandra Agricultural University,Fees,What is the tuition fee for Bidhan Chandra Agricultural University?,The tuition fee for Bidhan Chandra Agricultural University is 64706 per semester.
Bidhan Chandra Agricultural University,Placements,What is the highest placement package at Bidhan Chandra Agricultural University?,The highest placement package at Bidhan Chandra Agricultural University is 30.4 Lakh Per Annum.
Bidhan Chandra Agricultural University,Facilities,Does Bidhan Chandra Agricultural University have a hostel and what is the fee?,"Yes, Bidhan Chandra Agricultural University has a hostel for both boys and girls. The fee is 52529 and the mess fee is 29673."
Bidhan Chandra Agricultural University,Facilities,What are the library timings for Bidhan Chandra Agricultural University?,The library timings for Bidhan Chandra Agricultural University are 8:00 AM to 8:00 PM.
Bidhan Chandra Agricultural University,Academics,What is the attendance rule at Bidhan Chandra Agricultural University?,The attendance rule at Bidhan Chandra Agricultural University is Minimum 75% attendance mandatory.
Bharathidasan University,Fees,What is the tuition fee for Bharathidasan University?,The tuition fee for Bharathidasan University is 89812 per semester.
Bharathidasan University,Placements,What is the highest placement package at Bharathidasan University?,The highest placement package at Bharathidasan University is 40.9 Lakh Per Annum.
Bharathidasan University,Facilities,Does Bharathidasan University have a hostel and what is the fee?,"Yes, Bharathidasan University has a hostel for both boys and girls. The fee is 69304 and the mess fee is 37879."
Bharathidasan University,Facilities,What are the library timings for Bharathidasan University?,The library timings for Bharathidasan University are 8:00 AM to 8:00 PM.
Bharathidasan University,Academics,What is the attendance rule at Bharathidasan University?,The attendance rule at Bharathidasan University is Minimum 75% attendance mandatory.
Bengal Engineering College,Fees,What is the tuition fee for Bengal Engineering College?,The tuition fee for Bengal Engineering College is 118009 per semester.
Bengal Engineering College,Placements,What is the highest placement package at Bengal Engineering College?,The highest placement package at Bengal Engineering College is 31.0 Lakh Per Annum.
Bengal Engineering College,Facilities,Does Bengal Engineering College have a hostel and what is the fee?,"Yes, Bengal Engineering College has a hostel for both boys and girls. The fee is 70030 and the mess fee is 34692."
Bengal Engineering College,Facilities,What are the library timings for Bengal Engineering College?,The library timings for Bengal Engineering College are 8:00 AM to 8:00 PM.
Bengal Engineering College,Academics,What is the attendance rule at Bengal Engineering College?,The attendance rule at Bengal Engineering College is Minimum 75% attendance mandatory.
Bangalore University,Fees,What is the tuition fee for Bangalore University?,The tuition fee for Bangalore University is 82090 per semester.
Bangalore University,Placements,What is the highest placement package at Bangalore University?,The highest placement package at Bangalore University is 21.5 Lakh Per Annum.
Bangalore University,Facilities,Does Bangalore University have a hostel and what is the fee?,"Yes, Bangalore University has a hostel for both boys and girls. The fee is 74052 and the mess fee is 30802."
Bangalore University,Facilities,What are the library timings for Bangalore University?,The library timings for Bangalore University are 8:00 AM to 8:00 PM.
Bangalore University,Academics,What is the attendance rule at Bangalore University?,The attendance rule at Bangalore University is Minimum 75% attendance mandatory.
Bhagwant University,Fees,What is the tuition fee for Bhagwant University?,The tuition fee for Bhagwant University is 74235 per semester.
Bhagwant University,Placements,What is the highest placement package at Bhagwant University?,The highest placement package at Bhagwant University is 21.1 Lakh Per Annum.
Bhagwant University,Facilities,Does Bhagwant University have a hostel and what is the fee?,"Yes, Bhagwant University has a hostel for both boys and girls. The fee is 53264 and the mess fee is 34865."
Bhagwant University,Facilities,What are the library timings for Bhagwant University?,The library timings for Bhagwant University are 8:00 AM to 8:00 PM.
Bhagwant University,Academics,What is the attendance rule at Bhagwant University?,The attendance rule at Bhagwant University is Minimum 75% attendance mandatory.
Bharathiar University,Fees,What is the tuition fee for Bharathiar University?,The tuition fee for Bharathiar University is 69169 per semester.
Bharathiar University,Placements,What is the highest placement package at Bharathiar University?,The highest placement package at Bharathiar University is 25.2 Lakh Per Annum.
Bharathiar University,Facilities,Does Bharathiar University have a hostel and what is the fee?,"Yes, Bharathiar University has a hostel for both boys and girls. The fee is 49168 and the mess fee is 38665."
Bharathiar University,Facilities,What are the library timings for Bharathiar University?,The library timings for Bharathiar University are 8:00 AM to 8:00 PM.
Bharathiar University,Academics,What is the attendance rule at Bharathiar University?,The attendance rule at Bharathiar University is Minimum 75% attendance mandatory.
Bharath Institue Of Higher Education & Research,Fees,What is the tuition fee for Bharath Institue Of Higher Education & Research?,The tuition fee for Bharath Institue Of Higher Education & Research is 70516 per semester.
